Date,Open,High,Low,Close
27-Apr-18,11128.53,11216.97,11127.92,11188.63
30-Apr-18,11207.67,11267.64,11203.22,11244.63
02-May-18,11293.19,11300.14,11190.57,11217.36
03-May-18,11238.36,11238.36,11150.24,11178.49
04-May-18,11191.05,11206.42,11103.04,11120.57
07-May-18,11144.51,11226.23,11137.52,11212.9
08-May-18,11252.5,11260.64,11194.47,11220.25
09-May-18,11207.92,11268.67,11193.7,11241.63
10-May-18,11253.41,11292.07,11204.19,11216.82
11-May-18,11234.93,11330.6,11230.16,11314.19
14-May-18,11320.5,11343.79,11283.76,11309.36
15-May-18,11300.66,11439.89,11288.7,11306.81
16-May-18,11279.16,11299.15,11204.39,11253.89
17-May-18,11283.26,11289.51,11172.63,11190.84
18-May-18,11189.49,11195.22,11082.83,11090.84
21-May-18,11097.01,11126.7,11000.68,11011.38
22-May-18,11004.09,11052.64,10983.16,11030.03
23-May-18,11024.87,11026.19,10905.82,10918.68
24-May-18,10939.78,11028.29,10909.44,11003.08
25-May-18,11032.52,11129.1,11015.88,11102.24
28-May-18,11156.65,11205.67,11134.37,11185.05
29-May-18,11197.34,11212.16,11112.57,11124.5
30-May-18,11100.66,11141.12,11054.96,11107.59
31-May-18,11156.26,11252.29,11116.67,11227.57
01-Jun-18,11245.94,11270.93,11178.99,11193.7
04-Jun-18,11272.69,11286.66,11114.53,11124.42
05-Jun-18,11128.17,11139.46,11047.53,11086.32
06-Jun-18,11096.19,11196.97,11083.48,11182.05
07-Jun-18,11210.18,11320.33,11210.18,11267.18
08-Jun-18,11249.19,11281.14,11210.39,11270.05
11-Jun-18,11276.41,11355.22,11276,11288.62
12-Jun-18,11303.35,11362.06,11292.62,11347.12
13-Jun-18,11388.1,11403.84,11352.74,11365.31
14-Jun-18,11365,11369.32,11287.14,11319.12
15-Jun-18,11335,11342.97,11264.08,11322.9
18-Jun-18,11347.15,11352.21,11295.79,11305.38
19-Jun-18,11304.69,11304.8,11208.28,11219.84
20-Jun-18,11233.35,11291.7,11233.2,11285.59
21-Jun-18,11313.57,11324.75,11237.6,11247.22
22-Jun-18,11246.53,11344.8,11217.63,11329.62
25-Jun-18,11353.1,11358.23,11255.85,11267.95
26-Jun-18,11232.04,11318.56,11227.01,11278.63
27-Jun-18,11293.46,11310.1,11163.04,11181.87
28-Jun-18,11173.47,11190.9,11075.92,11097.91
29-Jun-18,11125.17,11234.81,11118.33,11224.18
02-Jul-18,11259.57,11269.23,11121.14,11172.54
03-Jul-18,11194.34,11236.3,11144.93,11215.21
04-Jul-18,11217.23,11293.97,11191.32,11285.66
05-Jul-18,11300.99,11313.61,11246.22,11263.69
06-Jul-18,11256.83,11335.42,11251.29,11285.61
09-Jul-18,11337.85,11380.61,11326.33,11369.17
10-Jul-18,11413.12,11474.82,11397.22,11464.41
11-Jul-18,11479.84,11499.13,11445.62,11470.32
12-Jul-18,11527.17,11605.49,11527.17,11547.86
13-Jul-18,11576.38,11599.31,11524.89,11537.23
16-Jul-18,11565.38,11565.38,11449.91,11459.42
17-Jul-18,11483.58,11546.12,11447.54,11535.52
18-Jul-18,11595.35,11606.15,11482.06,11500.65
19-Jul-18,11538.47,11540.09,11459.97,11480.44
20-Jul-18,11487.73,11549.8,11468.78,11529.45
23-Jul-18,11538.38,11606.48,11535.4,11597.66
24-Jul-18,11640.19,11667.65,11615.02,11653.12
25-Jul-18,11681.52,11681.52,11630.41,11651.15
26-Jul-18,11668.85,11710.05,11648.39,11687.55
27-Jul-18,11764.3,11809.03,11737.76,11802.36
30-Jul-18,11847.41,11855.42,11793.58,11845.01
31-Jul-18,11857.5,11893.7,11790.7,11882.71
01-Aug-18,11898.32,11915.29,11841.39,11870.19
02-Aug-18,11873.86,11873.86,11761.1,11772.03
03-Aug-18,11825.48,11892.4,11824.27,11883.89
06-Aug-18,11928.69,11959.87,11901.48,11914.71
07-Aug-18,11963.35,11969.76,11889.34,11912.16
08-Aug-18,11942.63,11988.56,11909.58,11975.82
09-Aug-18,12016.6,12031.71,11988.49,12007
10-Aug-18,12017.24,12018.81,11944.21,11959.43
13-Aug-18,11911.43,11940.63,11874.65,11889.62
